track	n_lists	n_iters	train_fraction	n_probe	build_rc	build_ms	blob_bytes	cpu_fuel	gpu_fuel	solve_rc	solve_ms	solve_fuel	verify_rc	quality
sift_128	256	0	0.5	8	0	2466	4132112	9301957	17138385256	0	2471	60541518866	0	942000
sift_128	256	20	0.5	8	0	2720	4132112	9357096	192013853876	0	1667	43336358235	0	957000
sift_128	1024	0	0.5	32	0	2009	4528400	10193629	67289336124	0	1830	61977753507	0	983000
sift_128	1024	10	0.5	32	0	3837	4528400	10221208	405487290165	0	1687	44752660736	0	989000
sift_128	1024	20	0.5	32	0	5660	4528400	10248768	743685219028	0	1709	44686311149	0	991000
sift_128	1024	20	1.0	32	0	9288	4528400	10248772	1420059200353	0	1700	44739254481	0	991000
sift_128	2048	20	0.5	64	0	9604	5056784	11437632	1479246929774	0	1752	46459222790	0	993000
sift_128	4096	0	0.5	128	0	3042	6113552	13760233	267893139592	0	1826	64966804751	0	994000
sift_128	4096	20	0.5	128	0	17400	6113552	13815372	2950370414894	0	1771	51381751148	0	1000000
glove_100	256	0	0.5	8	0	1684	4903440	11037445	16194624572	0	1921	83269755443	0	626000
glove_100	256	20	0.5	8	0	2743	4903440	11092584	181414115708	0	1689	42984536286	0	692000
glove_100	1024	0	0.5	32	0	1949	5213712	11735581	63473135016	0	1922	79207252337	0	701000
glove_100	1024	10	0.5	32	0	3728	5213712	11763160	382480270303	0	1652	43867616225	0	793000
glove_100	1024	20	0.5	32	0	5464	5213712	11790720	701487410580	0	1651	43757376032	0	788000
glove_100	1024	20	1.0	32	0	8951	5213712	11790724	1339483058860	0	1653	43720695122	0	781000
glove_100	2048	20	0.5	64	0	9222	5627408	12721536	1394918576411	0	1708	45707467356	0	823000
glove_100	4096	0	0.5	128	0	2923	6454800	14528041	252587176796	0	1958	83477874512	0	810000
glove_100	4096	20	0.5	128	0	16659	6454800	14583180	2781780841632	0	1731	50604072091	0	850000
nytimes_256	256	0	0.5	8	0	1233	1463184	3296869	10137667397	0	1209	21562514024	0	501000
nytimes_256	256	20	0.5	8	0	1839	1463184	3352008	113612279255	0	1204	18064825515	0	615000
nytimes_256	1024	0	0.5	32	0	1367	2252688	5073277	39929488767	0	1235	22439352819	0	605000
nytimes_256	1024	10	0.5	32	0	2467	2252688	5100856	240633612629	0	1174	18815386915	0	692000
nytimes_256	1024	20	0.5	32	0	3542	2252688	5128416	441337765623	0	1217	18822407786	0	700000
nytimes_256	1024	20	1.0	32	0	5695	2252688	5128420	842710984612	0	1213	18684108010	0	681000
nytimes_256	2048	20	0.5	64	0	5888	3305360	7496928	878305530615	0	1223	21504620461	0	711000
nytimes_256	4096	0	0.5	128	0	2249	5410704	12178825	159096774245	0	1355	30232391567	0	640000
nytimes_256	4096	20	0.5	128	0	12594	5410704	12233964	1752240596369	0	1359	28840106822	0	729000
